Date : 2026-05-05 02:55:17
Directory : c:\cpp\c
Total : 90 files,  2564 codes, 2 comments, 101 blanks, all 2667 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |         90 |      2,564 |          2 |        101 |      2,667 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------+------------+------------+------------+------------+------------+
| path                       | files      | code       | comment    | blank      | total      |
+----------------------------+------------+------------+------------+------------+------------+
| .                          |         90 |      2,564 |          2 |        101 |      2,667 |
+----------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------+----------+------------+------------+------------+------------+
| filename                   | language | code       | comment    | blank      | total      |
+----------------------------+----------+------------+------------+------------+------------+
| c:\cpp\c\3-4.c             | C        |         29 |          0 |          1 |         30 |
| c:\cpp\c\ipd地址.c           | C        |         35 |          0 |         10 |         45 |
| c:\cpp\c\m趟选择排序1.c         | C        |         35 |          0 |          0 |         35 |
| c:\cpp\c\m趟选择排序2.c         | C        |         42 |          0 |          1 |         43 |
| c:\cpp\c\test.c            | C        |         34 |          0 |         12 |         46 |
| c:\cpp\c\test2.c           | C        |         20 |          0 |          1 |         21 |
| c:\cpp\c\三角形判断.c           | C        |         26 |          0 |          2 |         28 |
| c:\cpp\c\上三角矩阵.c           | C        |         48 |          0 |          1 |         49 |
| c:\cpp\c\不变初心数.c           | C        |         38 |          0 |          0 |         38 |
| c:\cpp\c\倒叙字符.c            | C        |         19 |          0 |          1 |         20 |
| c:\cpp\c\兔子繁衍.c            | C        |         22 |          0 |          0 |         22 |
| c:\cpp\c\公约数公倍数.c          | C        |         20 |          0 |          0 |         20 |
| c:\cpp\c\凯撒密码.c            | C        |         24 |          0 |          0 |         24 |
| c:\cpp\c\出租车计价.c           | C        |         25 |          0 |          0 |         25 |
| c:\cpp\c\函数.c              | C        |         13 |          0 |          0 |         13 |
| c:\cpp\c\分数求和.c            | C        |         14 |          0 |          0 |         14 |
| c:\cpp\c\分段函数.c            | C        |         11 |          0 |          1 |         12 |
| c:\cpp\c\删除重复字符.c          | C        |         18 |          0 |          0 |         18 |
| c:\cpp\c\华氏摄氏表.c           | C        |         20 |          0 |          0 |         20 |
| c:\cpp\c\单词首字母.c           | C        |         25 |          1 |          2 |         28 |
| c:\cpp\c\单词首字母大写.c         | C        |         35 |          0 |          5 |         40 |
| c:\cpp\c\吃桃.c              | C        |         11 |          0 |          0 |         11 |
| c:\cpp\c\四位数字.c            | C        |         43 |          0 |          0 |         43 |
| c:\cpp\c\大写辅音.c            | C        |         13 |          0 |          0 |         13 |
| c:\cpp\c\奇数分数求和.c          | C        |         16 |          0 |          1 |         17 |
| c:\cpp\c\字符串排序.c           | C        |         24 |          0 |          0 |         24 |
| c:\cpp\c\字符串替换.c           | C        |         14 |          0 |          0 |         14 |
| c:\cpp\c\字符串转换成十进制整数.c     | C        |         76 |          0 |          3 |         79 |
| c:\cpp\c\字符串逆序.c           | C        |         16 |          0 |          0 |         16 |
| c:\cpp\c\幸运彩票.c            | C        |         25 |          0 |          0 |         25 |
| c:\cpp\c\打印杨辉三角.c          | C        |         36 |          0 |          0 |         36 |
| c:\cpp\c\找出不是两个数组共有的元素.c   | C        |         70 |          0 |          0 |         70 |
| c:\cpp\c\找出最小值.c           | C        |         18 |          0 |          1 |         19 |
| c:\cpp\c\找鞍点.c             | C        |         43 |          0 |          1 |         44 |
| c:\cpp\c\拼音.c              | C        |        102 |          0 |          1 |        103 |
| c:\cpp\c\换硬币.c             | C        |         20 |          0 |          0 |         20 |
| c:\cpp\c\排序.c              | C        |         30 |          0 |          0 |         30 |
| c:\cpp\c\数组去重.c            | C        |         21 |          0 |          0 |         21 |
| c:\cpp\c\数组排序.c            | C        |         27 |          0 |          0 |         27 |
| c:\cpp\c\数组翻转.c            | C        |         22 |          0 |          0 |         22 |
| c:\cpp\c\方阵循环右移.c          | C        |         27 |          0 |          1 |         28 |
| c:\cpp\c\时间换算.c            | C        |         39 |          0 |          0 |         39 |
| c:\cpp\c\替换加密.c            | C        |         27 |          0 |          0 |         27 |
| c:\cpp\c\最长的单词.c           | C        |         44 |          0 |          0 |         44 |
| c:\cpp\c\查找字符.c            | C        |         24 |          0 |          1 |         25 |
| c:\cpp\c\查找整数.c            | C        |         30 |          0 |          0 |         30 |
