Date : 2026-07-26 18:18:38
Directory : c:\cpp\cpp
Total : 594 files,  24530 codes, 398 comments, 6216 blanks, all 31144 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        589 |     24,367 |        391 |      6,183 |     30,941 |
| Java     |          5 |        163 |          7 |         33 |        203 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                  |        594 |     24,530 |        398 |      6,216 |     31,144 |
| 1111模板                                                             |          1 |         80 |          9 |         13 |        102 |
| 2222debug                                                          |          6 |        154 |          9 |         29 |        192 |
| 3333无题                                                             |          2 |         94 |          7 |         50 |        151 |
| Codeforces                                                         |         11 |        387 |          0 |        113 |        500 |
| Codeforces\1109                                                    |          5 |        176 |          0 |         44 |        220 |
| Codeforces\196                                                     |          6 |        211 |          0 |         69 |        280 |
| abc                                                                |         66 |      2,204 |          3 |        503 |      2,710 |
| abc\446                                                            |          4 |         98 |          3 |         23 |        124 |
| abc\447                                                            |          4 |        138 |          0 |         24 |        162 |
| abc\448                                                            |          4 |        133 |          0 |         33 |        166 |
| abc\449                                                            |          3 |         60 |          0 |         11 |         71 |
| abc\450                                                            |          4 |        111 |          0 |         22 |        133 |
| abc\451                                                            |          5 |        146 |          0 |         27 |        173 |
| abc\452                                                            |          4 |        130 |          0 |         27 |        157 |
| abc\453                                                            |          4 |        154 |          0 |         30 |        184 |
| abc\454                                                            |          4 |        104 |          0 |         25 |        129 |
| abc\455                                                            |          5 |        195 |          0 |         63 |        258 |
| abc\456                                                            |          5 |        168 |          0 |         42 |        210 |
| abc\457                                                            |          4 |        119 |          0 |         31 |        150 |
| abc\458                                                            |          4 |        159 |          0 |         36 |        195 |
| abc\459                                                            |          4 |        161 |          0 |         36 |        197 |
| abc\460                                                            |          4 |        160 |          0 |         36 |        196 |
| abc\461                                                            |          4 |        168 |          0 |         37 |        205 |
| 杭电周赛                                                               |         37 |      1,614 |          9 |        337 |      1,960 |
| 洛谷刷题训练                                                             |         20 |        788 |          0 |        222 |      1,010 |
| 牛客周赛                                                               |         97 |      4,330 |         28 |        985 |      5,343 |
| 牛客周赛\130,131                                                       |          5 |        286 |          0 |         68 |        354 |
| 牛客周赛\132                                                           |          6 |        362 |         22 |         79 |        463 |
| 牛客周赛\133                                                           |          5 |        244 |          0 |         43 |        287 |
| 牛客周赛\134                                                           |          6 |        178 |          0 |         46 |        224 |
| 牛客周赛\135                                                           |          6 |        182 |          1 |         34 |        217 |
| 牛客周赛\136                                                           |          6 |        341 |          2 |         70 |        413 |
| 牛客周赛\137                                                           |          5 |        166 |          0 |         32 |        198 |
| 牛客周赛\138                                                           |          6 |        235 |          0 |         65 |        300 |
| 牛客周赛\139                                                           |          6 |        241 |          0 |         52 |        293 |
| 牛客周赛\140                                                           |          6 |        277 |          0 |         69 |        346 |
| 牛客周赛\141                                                           |          7 |        321 |          0 |         89 |        410 |
| 牛客周赛\142                                                           |          6 |        281 |          1 |         73 |        355 |
| 牛客周赛\143                                                           |          5 |        210 |          0 |         53 |        263 |
